language,has_threads,lock_density,channel_density,actor_density,async_density,concurrency_score
Java,1,0.18,0.01,0.02,0.10,0.72
Java,1,0.20,0.00,0.01,0.08,0.75
Java,1,0.15,0.02,0.03,0.12,0.68
C++,1,0.22,0.00,0.01,0.15,0.78
C++,1,0.19,0.01,0.00,0.11,0.74
C++,1,0.17,0.00,0.02,0.13,0.70
Go,0,0.03,0.25,0.05,0.09,0.76
Go,0,0.02,0.28,0.04,0.07,0.79
Go,0,0.04,0.23,0.06,0.10,0.73
Erlang,0,0.01,0.10,0.30,0.05,0.77
Erlang,0,0.00,0.08,0.32,0.04,0.80
Erlang,0,0.02,0.12,0.29,0.06,0.75
Python,0,0.05,0.02,0.01,0.35,0.48
Python,0,0.04,0.01,0.00,0.38,0.45
Python,0,0.06,0.03,0.02,0.33,0.50
JavaScript,0,0.03,0.01,0.00,0.40,0.46
JavaScript,0,0.02,0.00,0.01,0.42,0.44
JavaScript,0,0.04,0.02,0.00,0.37,0.49
Rust,1,0.12,0.05,0.08,0.20,0.70
Rust,1,0.10,0.06,0.07,0.18,0.68
Rust,1,0.14,0.04,0.09,0.22,0.72
Scala,0,0.06,0.15,0.25,0.12,0.74
Scala,0,0.05,0.18,0.23,0.10,0.76
Scala,0,0.07,0.14,0.26,0.11,0.73
C#,1,0.16,0.02,0.03,0.25,0.69
C#,1,0.14,0.01,0.04,0.28,0.66
C#,1,0.18,0.03,0.02,0.22,0.71
